This is a plaintext list of all [365] speaking parts in the Gabler edition. 

An excellent project would be preparing the listPerson from this data.

========================================================================================

aa	Almidano Artifoni
ab	Alf Bergan
ae	George Russell
ae2	Russell as Mananaun MacLir
ajk	Alexander J Dowie
ak	Alexander Keyes
apb	Andrew Pisser Burke
ar	Armstrong

bb	baby Boardman
bc	Bella Cohen
bc2	Bello Cohen
bb	Blazes Boylan
bd	Bob Doran
bds	Burton diners	pl.
bed	Ben Dollard
bk	Bridie Kelly
bl	Bantam Lyons
bliz	Black Liz
bm	Buck Mulligan
bod	Boody Dedalus
bp	Bald Pat
bs	blind stripling
bss	Belvedere schoolboys	pl.
bt	Brian Tweedy
bv	Bernard Vaughan

c57c	Constable 57C
cam	Charles Alberta Marsh
cat	the Blooms' cat
cbocftf	Cashel Boyle O'Connor Fitzmaurice Tisdall Farrell
ccaff	Cissy Caffrey
chc	Chris Callinan
ck	Corny Kelleher
co	Cochrane
com	Comyn
cor	Corley
cpm	C. P. M'Coy
cr	Crofton
cr2	Crofton in pistachios parody
csp	Charles Stewart Parnell

db	Davy Byrne
dbc	Davy Byrne's curate
dbm	D.B. Murphy
dd	Dan Dawson
did	Dilly Dedalus
djm	Denis J Maginni
dl	Dillon's lacquey
dr	Dante Riordan
drc	Dr Crotthers
drd	Dr Dixon
drm	Dr Madden
ds	Davy Stephens

eb	Ellen Bloom
edb	Edy Boardman
ed	Edward Dowden
eli	Elijah
eng	an Englishman
eo	Esther Osvalt
es	Elizabeth Sheehy

fc	Father Cowley
fd	Freddy Dignam
ff	Frederick Falkiner
frc	Fr Coffey
frd	Fr Dolan
frof	Fr O'Flynn
frf	Fr Farley
ft	Florry Talbot
fws	F. W. Sweny

gc	bells of George's Church
gd	Garrett Deasy
gf	Gerald Fitzgerald, earl of Kildare
gfo	George Fottrell
gl	George Lidwell
gm	George Moore
gmd	Gerty MacDowell	
grm	George Robert Mesias

ha	Haines
hcl	Hugh C. Love	
hh	Hoppy Holohan
hr	Horace Rumbold
hs	Hely's shopgirl

jb	Josie Breen
jc	John Conmee
jcaff	Jacky Caffrey
je	John Eglinton
jf	John Fanning
jft	John F Taylor
jh	Joe Hynes
jhm	John Henry Menton
jhp	John Howard Parnell
jih	Jimmy Henry
jjom	J.J. O'Molloy
jm	Julius Mastiansky
jo	Joseph
joc	John O'Connell
jp	Jack Power
jp2	Jack Power in pistachios parody
jpn	Joseph Patrick Nannetti
jwn	John Wyse Nolan

kd	Katey Dedalus
ke	Kevin Egan
kr	Kitty Ricketts

lb	Leopold Bloom
lb2	Henry Flower
ld	Lydia Douce
len	Lenehan
lor	Larry O'Rourke
ls	Lorcan Sherlock

ma 	Virgin Mary
mac	The Man in the Macintosh
mad	May Dedalus
magd	Maggy Dedalus
marc	Martha Clifford
mard	Mary Driscoll
mb	Molly Bloom
mc	Martin Cunningham
mc2	Martin Cunningham in pistachios parody
md	Moses Dlugacz
meg	Michael E. Geraghty
mg	Mother Grogan
mh	Moses Herzog
mib	Milly Bloom
missd	Miss Dunne
mk	Mina Kennedy
mra	Mr Allfours
mrcc	Mr Cowe Conacre
mroor	Mr Orelli O'Reilly
mrs	Mr Staylewit
mrsb	Mrs Bellingham
mrsc	Mrs Cahill
mrscu	Mrs Cunningham
mrsk	Mrs Keogh
mrsmt	Mrs Mervyn Talboys
mrst	Mrs Thornton
mrsyb	Mrs Yelverton Barry
ms	Mary slavey
mw	milkwoman
myc	Myles Crawford

nf	Nosey Flynn
nl	Ned Lambert

om	Old Monks
omb	O'Madden Burke
or	old Royce

pb	Philip Beaufoy
pc	Punch Costello
pd	Paddy Dignam
pe	Patrice Egan
phild	Philip Drunk
phils	Philip Sober
pl	Paddy Leonard
profmh	professor MacHugh

